Rank,Title,Link,Author,Aborn,Adeath,Translator,Tborn,Tdeath,Subject,Language
875,Lucian's True History,https://www.gutenberg.org//ebooks/45858,"Lucian, of Samosata",120,180,"Hickes, Francis",1566,1631,"['Voyages, Imaginary -- Early works to 1800', 'Satire, Greek -- Translations into English']",English
375,Gargantua and Pantagruel,https://www.gutenberg.org//ebooks/1200,"Rabelais, François",1490,1553,"Urquhart, Thomas, Sir",1611,1660,"['Giants -- Fiction', 'Fantasy fiction, French -- Translations into English', 'Gargantua (Legendary character) -- Fiction']",English
481,"A Biblia Sagrada, Contendo o Velho e o Novo Testamento (Portuguese)",https://www.gutenberg.org//ebooks/62383,,,,"Almeida, João Ferreira d'",1628,1691,['Bible'],Portuguese
141,Essays of Michel de Montaigne — Complete,https://www.gutenberg.org//ebooks/3600,"Montaigne, Michel de",1533,1592,"Cotton, Charles",1630,1687,['French essays -- Translations into English'],English
338,The Aeneid,https://www.gutenberg.org//ebooks/228,Virgil,-71,-20,"Dryden, John",1631,1700,"['Aeneas (Legendary character) -- Poetry', 'Legends -- Rome -- Poetry', 'Epic poetry, Latin -- Translations into English']",English
653,"Les mille et une nuits, tome premier (French)",https://www.gutenberg.org//ebooks/26296,,,,"Galland, Antoine",1646,1715,"['Fairy tales', 'Tales -- Arab countries']",French
139,Antiquities of the Jews,https://www.gutenberg.org//ebooks/2848,"Josephus, Flavius",38,100,"Whiston, William",1667,1752,['Jews -- Antiquities'],English
322,"The Wars of the Jews; Or, The History of the Destruction of Jerusalem",https://www.gutenberg.org//ebooks/2850,"Josephus, Flavius",38,100,"Whiston, William",1667,1752,['Jews -- History'],English
513,"Letters of Abelard and Heloise",https://www.gutenberg.org//ebooks/35977,Héloïse,1095,1164,"Hughes, John",1677,1720,"['Love-letters', 'Abelard, Peter, 1079-1142 -- Correspondence', 'Héloïse, approximately 1095-1163 or 1164 -- Correspondence', 'Authors, Latin (Medieval and modern) -- France -- Correspondence']",English
916,The Fairy Tales of Charles Perrault,https://www.gutenberg.org//ebooks/29021,"Perrault, Charles",1628,1703,"Samber, Robert",1682,1735,['Fairy tales'],English
51,The Iliad,https://www.gutenberg.org//ebooks/6130,Homer,-751,-651,"Pope, Alexander",1688,1744,"['Classical literature', 'Epic poetry, Greek -- Translations into English', 'Achilles (Mythological character) -- Poetry', 'Trojan War -- Poetry']",English
719,The Odyssey,https://www.gutenberg.org//ebooks/3160,Homer,-751,-651,"Pope, Alexander",1688,1744,"['Homer -- Translations into English', 'Epic poetry, Greek -- Translations into English', 'Odysseus, King of Ithaca (Mythological character) -- Poetry']",English
750,Letters of Pliny,https://www.gutenberg.org//ebooks/2811,"Pliny, the Younger",61,112,"Melmoth, William",1710,1799,"['Pliny, the Younger -- Correspondence', 'Latin letters -- Translations into English', 'Authors, Latin -- Rome -- Correspondence', 'Lawyers -- Rome -- Correspondence']",English
642,Politics: A Treatise on Government,https://www.gutenberg.org//ebooks/6762,Aristotle,-385,-323,"Ellis, William",1730,1801,['Political science -- Early works to 1800'],English
551,"The Iliad of Homer",https://www.gutenberg.org//ebooks/16452,Homer,-751,-651,"Cowper, William",1731,1800,"['Epic poetry, Greek -- Translations into English', 'Achilles (Mythological character) -- Poetry', 'Trojan War -- Poetry']",English
933,Nathan the Wise; a dramatic poem in five acts,https://www.gutenberg.org//ebooks/3820,"Lessing, Gotthold Ephraim",1729,1781,"Taylor, W. (William)",1765,1836,['German drama -- Translations into English'],English
74,The divine comedy,https://www.gutenberg.org//ebooks/8800,Dante Alighieri,1265,1321,"Cary, Henry Francis",1772,1844,"['Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English']",English
58,The Confessions of St. Augustine,https://www.gutenberg.org//ebooks/3296,"Augustine, Saint, Bishop of Hippo",354,430,"Pusey, E. B. (Edward Bouverie)",1800,1882,"['Augustine, Saint, Bishop of Hippo', 'Christian saints -- Algeria -- Hippo (Extinct city) -- Biography', 'Catholic Church -- Bishops -- Biography', 'Bishops -- Algeria -- Hippo (Extinct city) -- Biography']",English
597,Reise in die Aequinoctial-Gegenden des neuen Continents. Band 2. (German),https://www.gutenberg.org//ebooks/24746,"Humboldt, Alexander von",1769,1859,"Hauff, Hermann",1800,1865,"['South America -- Description and travel', 'Geology -- South America', 'Natural history -- South America', 'South America -- History']",German
223,"The Thousand and One Nights, Vol. I.",https://www.gutenberg.org//ebooks/34206,,,,"Lane, Edward William",1801,1876,"['Fairy tales', 'Tales -- Arab countries']",English
692,"Apology, Crito, and Phaedo of Socrates",https://www.gutenberg.org//ebooks/13726,Plato,-428,-348,"Cary, Henry",1804,1870,"['Socrates, 470 BC-399 BC']",English
939,"Fables of La Fontaine — a New Edition, with Notes",https://www.gutenberg.org//ebooks/7241,"La Fontaine, Jean de",1621,1695,"Wright, Elizur",1804,1885,"['Fables, French -- Translations into English']",English
844,The Letters of Wolfgang Amadeus Mozart — Volume 01,https://www.gutenberg.org//ebooks/5307,"Mozart, Wolfgang Amadeus",1756,1791,"Wallace, Grace, Lady",1804,1878,"['Composers -- Austria -- Correspondence', 'Mozart, Wolfgang Amadeus, 1756-1791 -- Correspondence']",English
154,The Sorrows of Young Werther,https://www.gutenberg.org//ebooks/2527,"Goethe, Johann Wolfgang von",1749,1832,"Boylan, R. Dillon (Richard Dillon)",1805,1888,"['Germany -- Social life and customs -- Fiction', 'Unrequited love -- Fiction', 'Young men -- Germany -- Fiction']",English
273,"Divine Comedy, Longfellow's Translation, Hell",https://www.gutenberg.org//ebooks/1001,Dante Alighieri,1265,1321,"Longfellow, Henry Wadsworth",1807,1882,"['Hell -- Poetry', 'Epic poetry, Italian -- Translations into English', 'Italian poetry -- To 1400 -- Translations into English']",English
548,The Anglo-Saxon Chronicle,https://www.gutenberg.org//ebooks/657,,,,"Giles, J. A. (John Allen)",1808,1884,"['Great Britain -- History -- Anglo-Saxon period, 449-1066 -- Sources', 'Anglo-Saxons -- Early works to 1800']",English
648,The Rubaiyat of Omar Khayyam,https://www.gutenberg.org//ebooks/246,Omar Khayyam,1048,1122,"FitzGerald, Edward",1809,1883,['Persian poetry -- Translations into English'],English
388,Life Is a Dream,https://www.gutenberg.org//ebooks/2587,"Calderón de la Barca, Pedro",1600,1681,"FitzGerald, Edward",1809,1883,['Drama'],English
559,Cicero's Tusculan Disputations,https://www.gutenberg.org//ebooks/14988,"Cicero, Marcus Tullius",-107,-44,"Yonge, Charles Duke",1812,1891,"['Theology -- Early works to 1800', 'Political science -- Early works to 1800', 'State, The -- Early works to 1800', 'Happiness -- Early works to 1800', 'Gods, Roman -- Early works to 1800', 'Rome -- Politics and government -- 265-30 B.C.']",English
869,The Mabinogion,https://www.gutenberg.org//ebooks/5160,,,,"Schreiber, Charlotte, Lady",1812,1895,"['Welsh literature -- 1100-1400 -- Translations into English', 'Mythology, Celtic -- Wales', 'Tales -- Wales']",English
985,The Lives and Opinions of Eminent Philosophers,https://www.gutenberg.org//ebooks/57342,"Diogenes Laertiu, iogenes Laertius",,,"Yonge, Charles Duke",1812,1891,"['Philosophy, Ancient', 'Philosophers, Ancient -- Biography']",English
129,Democracy in America — Volume 1,https://www.gutenberg.org//ebooks/815,"Tocqueville, Alexis de",1805,1859,"Reeve, Henry",1813,1895,"['United States -- Politics and government', 'United States -- Social conditions', 'Democracy -- United States']",English
261,Democracy in America — Volume 2,https://www.gutenberg.org//ebooks/816,"Tocqueville, Alexis de",1805,1859,"Reeve, Henry",1813,1895,"['United States -- Politics and government', 'United States -- Social conditions', 'Democracy -- United States']",English
410,"Aesop's Fables",https://www.gutenberg.org//ebooks/21,Aesop,-621,-565,"Townsend, George Fyler",1814,1900,"['Fables, Greek -- Translations into English', ""Aesop's fables -- Translations into English""]",English
606,The Analects of Confucius (from the Chinese Classics),https://www.gutenberg.org//ebooks/3330,Confucius,-552,-480,"Legge, James",1815,1897,"['Ethics -- China', 'Philosophy, Chinese']",English
119,"The Metamorphoses of Ovid, Books I-VII",https://www.gutenberg.org//ebooks/21765,Ovid,-44,-18,"Riley, Henry T. (Henry Thomas)",1816,1878,"['Classical literature', 'Latin poetry -- Translations into English', 'Fables, Latin -- Translations into English', 'Metamorphosis -- Mythology -- Poetry', 'Mythology, Classical -- Poetry']",English
862,"Ars Amatoria; or, The Art Of Love",https://www.gutenberg.org//ebooks/47677,Ovid,-44,-18,"Riley, Henry T. (Henry Thomas)",1816,1878,"['Latin poetry -- Translations into English', 'Latin poetry -- Adaptations']",English
